lng,lat,parcel_id
-72.71533,41.80047,102001001
-72.71635,41.79431,103001001
-72.71228,41.79129,104001011
-72.71512,41.79180,104001012
-72.71499,41.79152,104001013
-72.71486,41.79123,104001014
-72.71476,41.79101,104001015
-72.71465,41.79078,104001016
-72.71452,41.79049,104001017
-72.71431,41.79002,104001018
-72.71544,41.79030,104177001
-72.71555,41.79067,104177002
-72.71565,41.79098,104177003
-72.71571,41.79121,104177004
-72.71574,41.79129,104177005
-72.71581,41.79153,104177006
-72.71589,41.79180,104177007
-72.71597,41.79208,104177008
-72.71609,41.79247,104177009
-72.71613,41.79259,104177010
-72.71606,41.79236,104177011
-72.71416,41.78968,105001014
-72.71404,41.78943,105001015
-72.71391,41.78913,105001016
-72.71265,41.78898,105001017
-72.71512,41.78760,105177001
-72.71422,41.78736,105177002
-72.71437,41.78778,105177003
-72.71446,41.78808,105177004
-72.71517,41.78812,105177005
-72.71463,41.78846,105177006
-72.71483,41.78878,105177007
-72.71491,41.78898,105177008
-72.71507,41.78932,105177009
-72.71548,41.78899,105177010
-72.71516,41.78951,105177011
-72.71567,41.78962,105177012
-72.71526,41.78974,105177013
-72.71369,41.78665,105178018
-72.71417,41.78677,105178019
-72.71477,41.78682,105178020
-72.71472,41.78646,105178021
-72.71443,41.78596,105178022
-72.71337,41.78589,105178023
-72.71337,41.78624,105178024
-72.71306,41.78661,105178025
-72.71438,41.78565,106178001
-72.71433,41.78527,106178002
-72.71435,41.78499,106178003
-72.71431,41.78471,106178004
-72.71426,41.78432,106178005
-72.71418,41.78381,106178006
-72.71413,41.78349,106178007
-72.71410,41.78322,106178008
-72.71402,41.78272,106178009
-72.71395,41.78224,106178010
-72.71309,41.78222,106178011
-72.71314,41.78256,106178012
-72.71318,41.78289,106178013
-72.71323,41.78323,106178014
-72.71328,41.78361,106178015
-72.71333,41.78406,106178016
-72.71336,41.78441,106178017
-72.71338,41.78475,106178018
-72.71336,41.78514,106178019
-72.71335,41.78544,106178020
-72.71336,41.78564,106178021
-72.71370,41.78177,107178001
-72.71362,41.78120,107178002
-72.71328,41.78078,107178003
-72.71324,41.78034,107178004
-72.71341,41.77978,107178005
-72.71338,41.77946,107178006
-72.71336,41.77919,107178007
-72.71335,41.77889,107178008
-72.71257,41.78163,107178009
-72.71283,41.77789,108178001
-72.71278,41.77730,108178002
-72.71246,41.77713,108178003
-72.71264,41.77551,108295004
-72.71424,41.77446,108295006
-72.71466,41.77418,109295001
-72.71455,41.77367,109295002
-72.71495,41.77333,109295003
-72.71508,41.77305,109295004
-72.71517,41.77278,109295005
-72.71528,41.77251,109295006
-72.71538,41.77226,109295007
-72.71549,41.77199,109295008
-72.71561,41.77169,109295009
-72.71569,41.77145,109295010
-72.71576,41.77123,109295011
-72.71599,41.77097,109295012
-72.71559,41.77091,109295013
-72.71535,41.77088,109295014
-72.71512,41.77081,109295015
-72.71513,41.77118,109295016
-72.71504,41.77140,109295017
-72.71495,41.77167,109295018
-72.71486,41.77190,109295019
-72.71475,41.77216,109295020
-72.71466,41.77241,109295021
-72.71455,41.77269,109295022
-72.71441,41.77294,109295023
-72.71437,41.77313,109295024
-72.71431,41.77329,109295025
-72.71411,41.77395,109295026
-72.71336,41.77382,109298026
-72.71348,41.77351,109298027
